ts;x;y;z
2022-12-27 13:56:03.429730;0.009471;-0.010152;-1.275831,
2022-12-27 13:56:03.439789;0.008726;-0.006006;-1.132874,
2022-12-27 13:56:03.449847;0.003217;0.003491;-1.055771,
2022-12-27 13:56:03.459904;0.006199;0.002942;-0.774388,
2022-12-27 13:56:03.469963;0.000800;-0.002655;-0.305233,
2022-12-27 13:56:03.480021;-0.003166;-0.008763;0.050296,
2022-12-27 13:56:03.490078;-0.039201;-0.119583;0.058462,
2022-12-27 13:56:03.500137;-0.141745;-0.422991;-0.213192,
2022-12-27 13:56:03.510194;-0.304872;-0.087314;-0.726572,
2022-12-27 13:56:03.520253;-0.596945;0.483365;-1.234601,
2022-12-27 13:56:03.530312;-0.709617;0.267957;-1.881906,
2022-12-27 13:56:03.540370;-0.782722;0.582885;-2.114748,
2022-12-27 13:56:03.550427;-0.664762;0.089312;-1.769037,
2022-12-27 13:56:03.560486;-0.789203;-0.081643;-1.034065,
2022-12-27 13:56:03.570544;-1.034007;-0.632861;-0.335148,
2022-12-27 13:56:03.580601;-1.244572;-1.211637;0.001253,
2022-12-27 13:56:03.590660;-1.657363;-1.715538;0.030756,
2022-12-27 13:56:03.600718;-1.964428;-0.797074;-0.233348,
2022-12-27 13:56:03.610776;-2.702433;0.009443;-0.484623,
2022-12-27 13:56:03.620833;-3.227934;0.205770;-0.616992,
2022-12-27 13:56:03.630892;-3.240783;0.430894;-0.637845,
2022-12-27 13:56:03.640949;-0.405257;3.148116;-0.186987,
2022-12-27 13:56:03.651008;1.295375;2.787276;-0.807358,
2022-12-27 13:56:03.661067;1.480037;1.402478;-1.217784,
2022-12-27 13:56:03.671125;1.071677;0.431125;-0.643643,
2022-12-27 13:56:03.681183;1.065796;-0.144148;-0.373232,
2022-12-27 13:56:03.691241;1.458431;-0.404129;-0.591147,
2022-12-27 13:56:03.701299;1.627106;-0.364631;-0.867597,
2022-12-27 13:56:03.711357;1.528797;-0.025328;-1.025980,
2022-12-27 13:56:03.721415;1.501405;0.672971;-0.877582,
